relative_path,phase,status,translation_block_count,string_dialogue_count,source_word_estimate,count_reference_language,present_in_languages,structure_variance,source_upstream_baseline_sha,notes
code/scenes/character_scenes/my/sm1cs-my004.rpy,Phase 5,not started,291,295,2204,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/my/sm1cs-my004i.rpy,Phase 5,not started,7,7,34,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/my/sm1cs-my005.rpy,Phase 5,not started,220,222,1398,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/my/sm1cs-my005i.rpy,Phase 5,not started,8,8,47,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/my/sm1cs-my006.rpy,Phase 5,not started,395,396,2572,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/nr/sm1cs-nr001i.rpy,Phase 5,not started,9,9,79,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/rd/sm1cs_rd001i.rpy,Phase 5,not started,3,3,20,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/sy/sm1cs-sy001.rpy,Phase 5,not started,125,129,967,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/sy/sm1cs-sy001i.rpy,Phase 5,not started,16,16,125,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/sy/sm1cs-sy002.rpy,Phase 5,not started,209,209,1811,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/sy/sm1cs-sy002i.rpy,Phase 5,not started,27,27,212,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/sy/sm1cs-sy003.rpy,Phase 5,not started,163,163,1152,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/character_scenes/sy/sm1cs-sy003i.rpy,Phase 5,not started,11,12,82,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/cross_characters/sm1xc_ns_tl_001.rpy,Phase 5,not started,113,113,1039,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/cross_characters/sm1xc_ns_tl_001i.rpy,Phase 5,not started,15,15,160,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ag/sm1cs-ag001.rpy,Phase 6,not started,127,136,1316,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ag/sm1cs-ag002.rpy,Phase 6,not started,106,108,913,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ag/sm1cs-ag002i.rpy,Phase 6,not started,6,6,31,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ag/sm1cs-ag003.rpy,Phase 6,not started,136,136,1097,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/ag/sm1cs-ag003i.rpy,Phase 6,not started,6,6,48,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am-renovation.rpy,Phase 6,not started,114,126,857,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am001.rpy,Phase 6,not started,149,156,1347,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am002.rpy,Phase 6,not started,97,103,923,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am003.rpy,Phase 6,not started,145,150,1429,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am004.rpy,Phase 6,not started,273,290,1795,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am004i.rpy,Phase 6,not started,14,15,96,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am005.rpy,Phase 6,not started,179,194,1441,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am005b.rpy,Phase 6,not started,9,9,43,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am006.rpy,Phase 6,not started,210,224,1524,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am007.rpy,Phase 6,not started,437,463,2906,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/am/sm1cs-am008.rpy,Phase 6,not started,482,496,3073,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw001.rpy,Phase 6,not started,114,125,1232,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw001i.rpy,Phase 6,not started,3,3,19,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw002.rpy,Phase 6,not started,41,42,303,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw002_2.rpy,Phase 6,not started,150,157,1262,french,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/scenes/it_office/cw/sm1cs-cw003.rpy,Phase 6,not started,78,79,663,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
