relative_path,reference_language,translation_block_count,string_dialogue_count,source_fingerprint_sha256
code/data/quick_interactions/Photo_dojo/q-inter-kv.rpy,deutsch,32,32,d945c169a4bd2f0dae47095fdc15922bab46eb2d6067ca883680cd4e7ac998ba
code/data/quick_interactions/Starducks/q-inter-cs.rpy,deutsch,20,20,da638d4e18a55855cdc4fe9359d72c9b084e2a42fc851d07d338cd7cfcafadd8
code/data/quick_interactions/Theater/background_chars/q-inter-ec.rpy,deutsch,33,33,17e4f49f5f3cd6522bae272a23b2ff15da421294424df3424c184bfc7955b858
code/data/quick_interactions/Theater/background_chars/q-inter-kw.rpy,deutsch,29,29,0467ecc4f00d8a5b763f478227a981dd2f49ef6cb47fd6216b42044721ad3057
code/data/quick_interactions/Theater/background_chars/q-inter-sb.rpy,deutsch,15,15,024fcdb4544f1f5011c824608b4ba74ac814dbd24e3668111899d6af2f4baf05
code/data/quick_interactions/Theater/background_chars/q-inter-sj.rpy,deutsch,28,28,a463760bd656383578e1252d41f40e9e44e05901fa109695e4db699b4fc643ba
code/data/quick_interactions/Theater/q-inter-dvh.rpy,deutsch,19,19,5102c5578ec877ef71b8c828a0f1ec9a160ef877c9c95917dbe2649122023ad0
code/data/quick_interactions/Theater/q-inter-km.rpy,deutsch,35,35,30213d6a4a8042aef1763a43ff5b0dae7b2cf7156581411499ed7988eef3a682
code/data/quick_interactions/Theater/q-inter-tl.rpy,deutsch,117,117,0f1aac5a35838fc1f3ed9f963f4da2ed951cb04e94865f146c9222747251f84d
code/data/quick_interactions/Theater/q-inter-vs.rpy,deutsch,51,51,ddc22d4ff83ec021e4fb31ef12a69073db46d0e05d4b518c581b859c64e953d7
code/data/quick_interactions/l71_shop/q-inter-ic.rpy,deutsch,17,17,730e61c33537e4942851de99ec346152b2b22ef00a0f9a6a0f8c0030f1dc8cda
code/data/quick_interactions/wurst_delivery/q-inter-ms.rpy,deutsch,142,142,9693b291900f8a4ff576c59b289e5858b3a0fb2a811cd1f690bf8b277780b664
code/data/quick_interactions/wurst_delivery/q-inter-nr.rpy,deutsch,33,33,bff13f955d694d0e181b1cc2d4e3fda85ea2a2161641c7fe1e5109af72fe48c1
code/data/renpy/defaults.rpy,italian,1,1,ea3bdf65e0bf6b4680390a5ccc8d56663ed6f36d76fc3dc9ff40df168a6a9647
code/debug/storyline_config.rpy,deutsch,1,1,ea3bdf65e0bf6b4680390a5ccc8d56663ed6f36d76fc3dc9ff40df168a6a9647
code/functions/functions.rpy,deutsch,1,3,6f5a5e4e3779c4984e4a7098f7814726750aeb8a434418af47871a4969eb3c3c
code/functions/init.rpy,french,1,1,ea3bdf65e0bf6b4680390a5ccc8d56663ed6f36d76fc3dc9ff40df168a6a9647
code/functions/release_1.rpy,french,1,1,bc357c40f8c034f77cf020b84f0fa458c8f9f1270b15298382cba7ef47bef472
code/hints.rpy,deutsch,1,136,480daa5c7b31a64548b628ead31b6444548cf56664e287434d2578f2e9240535
code/live_chat/live_chat.rpy,deutsch,1,4,2eab65c3c70afaa909ceca5e30b10186aecb4b0fef4503dcd6ac66163fcb481c
code/live_chat/live_chat_auth.rpy,deutsch,1,12,257a2d56cc0b4ec631cef3a13e6ff28be43ac121b35a2cbcbbf324efd35feedc
code/live_chat/live_chat_helpers.rpy,deutsch,1,2,1e8de9190c688a8080b31b0f559ad17f7a65868fccd4a064565becfe94efd09e
code/live_chat/live_chat_storage.rpy,deutsch,1,3,0512de0ffa936e4957a52cc93f896c688494640ed5a432b445b45843fc44b4ea
